arraysort parallelsort mergesort quicksort cores
132488769 60477734 159677269 144360772 1
133295494 59324096 158119241 143184554 1
137086899 61201324 158339910 143973831 1
133964687 61650873 160259219 143501702 1
208046934 61441493 157108269 146500751 1
132838761 63100105 156555056 144670736 1
131658437 62479152 162099499 145198289 1
145055624 59809568 183052810 151764995 1
278822222 193899472 178288408 145179814 1
138384229 70268262 168984377 145287584 1
137780725 78414549 118884255 87381929 2
138885097 69008908 133545928 87105836 2
157769249 74280336 124379432 104488412 2
138652112 68613756 95310625 80843962 2
140055157 71044197 104655710 83051681 2
136891889 65097417 104756294 82668845 2
136536766 63217111 93018745 88400086 2
147410113 60948836 101518102 81875463 2
149097463 73640909 120567500 93146015 2
142933095 65643446 95061218 84787270 2
137228538 63535285 89531145 66865851 3
142913594 65689633 89663547 69110518 3
143264611 64807982 84400329 86105127 3
153039744 76533215 127463669 81109792 3
135534005 65508992 95258281 67729027 3
137811516 66118654 86276530 67358507 3
140222455 64097735 95851521 66614391 3
135024925 64138790 87714472 66705737 3
135545294 74572851 87082229 68569622 3
135698223 61824329 88028541 66822743 3
139624082 64787455 75338522 55353076 4
136533687 63637922 77642719 55699988 4
135778280 64270165 73959083 58247435 4
141654239 64863405 78217485 56969606 4
136860072 67662312 73199571 56430763 4
136873415 63676924 72789023 57044531 4
144665605 67113205 85209107 60474654 4
139601503 62713164 75999503 119979390 4
138398599 62152766 96007530 55514215 4
134663644 64816193 72224521 57479711 4
