arraysort parallelsort mergesort quicksort cores
170776768 76520029 242265528 185935234 1
168308346 80387393 261250304 195626225 1
188263043 82277968 249764192 194027139 1
183115794 83134987 226886392 185406653 1
179689769 81063772 251301694 185970131 1
175473439 78409577 238376610 192539929 1
178307248 85529510 238235998 191036296 1
178912807 81599537 229937792 188871680 1
162190152 86287998 233493139 179195058 1
175551443 90568989 255065395 215936045 1
184344360 79786967 155161566 130976171 2
177606237 81815075 140557340 118873209 2
178948729 79990188 143404491 129551569 2
177504626 80803073 165533041 140950439 2
183180456 92681259 155220070 118073667 2
189700988 81543087 146526711 112470710 2
183313883 80261150 150834388 121591039 2
187475816 80403815 167870087 130033962 2
184171930 81458924 152136852 122639989 2
183786014 83279706 159506193 119657357 2
199002984 82850683 133830508 98862063 3
177092025 82630013 130357270 91774975 3
184781593 77678802 125413243 86800156 3
196714177 88838528 124038932 89235734 3
193637118 80501321 127908349 88550118 3
179999733 89101279 118610458 88159071 3
199636254 82361104 119082589 95315952 3
180517024 79425684 124293472 87529906 3
182926942 79513952 135145287 90791712 3
208307032 78703119 124787157 88071829 3
171444935 79928606 94041200 64896383 4
172290664 83492164 97117233 64251822 4
167701762 80084614 96889379 63084839 4
181626530 84219861 92978907 76038661 4
184391573 90989801 95247186 64699320 4
182200271 82213306 92955301 71785381 4
177172082 82745993 92090070 66120842 4
182059659 83443925 102105394 72694746 4
186457656 88025643 102400989 62285296 4
181047657 81884868 97070020 98257531 4
