arraysort parallelsort mergesort quicksort cores
91.68552 45.949024 195.96365 102.08114 4
187.81213 91.05141 397.37042 212.46968 4
280.78625 136.93932 598.61523 315.31998 4
373.40872 181.10376 801.09186 425.4205 4
466.46463 223.11224 1007.3294 527.3896 4
214.56952 46.15694 202.76454 74.48496 4
352.48053 91.79692 420.82034 135.68103 4
548.05145 132.7266 611.2639 190.21896 4
727.8001 180.46118 811.5815 250.19037 4
963.89154 222.83263 1004.6636 316.29285 4
90.443 46.78293 191.84486 51.229084 4
188.00307 90.808426 387.228 100.48893 4
283.49063 148.85948 578.8387 142.42484 4
376.2061 216.62425 771.7934 184.3711 4
466.12524 283.10358 964.5694 231.80528 4
99.535 42.846794 193.40182 38.827976 4
192.3685 86.63961 385.88516 93.23761 4
294.14157 127.80266 574.96967 153.35995 4
387.08124 170.25209 763.2078 206.40971 4
483.20163 211.88748 956.3504 243.94598 4
